iter	Passed	Remaining
445	1172	1455
446	1174	1452
447	1177	1450
448	1179	1447
449	1181	1444
450	1184	1441
451	1186	1438
452	1188	1435
453	1191	1432
454	1193	1429
455	1196	1426
456	1198	1424
457	1200	1420
458	1202	1417
459	1205	1415
460	1207	1411
461	1209	1408
462	1212	1405
463	1214	1402
464	1216	1399
465	1218	1396
466	1221	1393
467	1223	1390
468	1226	1388
469	1228	1384
470	1230	1381
471	1232	1378
472	1234	1375
473	1237	1373
474	1239	1369
475	1242	1367
476	1244	1364
477	1246	1361
478	1248	1358
479	1251	1355
480	1253	1352
481	1256	1349
482	1258	1347
483	1260	1344
484	1262	1341
485	1265	1338
486	1267	1335
487	1269	1332
488	1272	1329
489	1274	1326
490	1276	1323
491	1279	1320
492	1281	1317
493	1283	1314
494	1286	1312
495	1288	1309
496	1291	1306
497	1293	1304
498	1296	1301
499	1298	1298
500	1300	1295
501	1302	1292
502	1304	1289
503	1307	1286
504	1309	1283
505	1312	1281
506	1314	1278
507	1316	1275
508	1319	1272
509	1321	1269
510	1324	1267
511	1326	1264
512	1329	1261
513	1332	1259
514	1334	1256
515	1337	1254
516	1340	1251
517	1342	1249
518	1345	1247
519	1347	1244
520	1350	1241
521	1353	1239
522	1356	1237
523	1360	1235
524	1364	1234
525	1368	1233
526	1373	1232
527	1377	1231
528	1382	1230
529	1387	1230
530	1392	1229
531	1395	1227
532	1400	1227
533	1403	1225
534	1408	1224
535	1413	1223
536	1417	1221
537	1424	1222
538	1429	1222
539	1434	1222
540	1441	1222
541	1445	1221
542	1449	1220
543	1453	1218
544	1456	1216
545	1461	1215
546	1464	1212
547	1467	1210
548	1471	1208
549	1475	1207
550	1478	1204
551	1481	1202
552	1484	1199
553	1487	1197
554	1489	1194
555	1492	1192
556	1496	1189
557	1499	1187
558	1501	1184
559	1504	1181
560	1507	1179
561	1509	1176
562	1512	1174
563	1515	1171
564	1518	1168
565	1521	1166
566	1524	1163
567	1527	1161
568	1529	1158
569	1532	1156
570	1535	1153
571	1538	1151
572	1541	1148
573	1544	1145
574	1547	1143
575	1550	1141
576	1553	1138
577	1556	1136
578	1559	1133
579	1562	1131
580	1565	1128
581	1568	1126
582	1570	1123
583	1574	1121
584	1577	1118
585	1582	1117
586	1584	1114
587	1588	1112
588	1590	1109
589	1593	1107
590	1596	1104
591	1598	1101
592	1601	1099
593	1604	1096
594	1607	1093
595	1610	1091
596	1612	1088
597	1615	1085
598	1617	1083
599	1621	1080
600	1623	1078
601	1626	1075
