region,per_capita_income_rub,median_income_per_capita_rub,milk_consumption_per_capita,sugar_consumption_per_capita,urban_population_pct,male_to_female_ratio,under_working_age_population_pct,working_age_population_pct,above_working_age_population_pct,dependency_ratio,birth_rate_per_1000,death_rate_per_1000,infant_mortality_per_1000_births,natural_increase_rate_per_1000,marriage_rate_per_1000,divorce_rate_per_1000,migration_increase_rate_per_10000,library_books_per_1000,library_users_total,milk_production_total,milk_production_per_cow,forest_coverage_pct,disease_incidence_infectious,disease_incidence_cancer,disease_incidence_blood,disease_incidence_endocrine,disease_incidence_nervous,disease_incidence_eye,disease_incidence_ear,disease_incidence_circulatory,disease_incidence_respiratory,disease_incidence_digestive,disease_incidence_skin,disease_incidence_musculoskeletal,disease_incidence_genitourinary,disease_incidence_congenital,disease_incidence_trauma,disease_incidence_all,air_pollutant_emissions,captured_air_pollutants_pct,wastewater_discharge,gross_preschool_coverage,qualified_workers_grads,mid_level_specialists_grads,bachelors_specialists_masters_grads,electronic_data_exchange_pct,personal_computer_households_pct,internet_access_households_pct,broadband_access_households_pct,daily_internet_usage_pct,bus_passenger_transport,buses_per_100000,unemployed_per_vacancy,stadiums_1500_seats,sports_facilities_fields,sports_facilities_gyms,sports_facilities_pools,alcoholism_patients_per_100k,drug_addiction_patients_per_100k,substance_abuse_patients_per_100k,disabled_population_per_1000,population_total,crimes_murder_attempts,crimes_grievous_bodily_harm,crimes_robbery,crimes_armed_robbery,crimes_hooliganism,crimes_drug_related,nominal_wages_avg_rub,poverty_rate_pct_region
Чувашская Республика,27213,22320.9,280,28,64.3,1162,19.5,55.4,25.1,805,8.4,13.3,3.1,-4.9,5.3,3.8,-43,7623,594,465.518,6835,32.6,24.1,9.5,2.7,14.6,10.1,23.1,33.3,32,463.9,26,39.2,26.3,51.5,1.1,92.5,60.3,32,22.3,55.85,84.76870426,1.6,5.3,7.5,61,62.2,75.2,74,77.3,84.2,104.758276,0.4818254179,12,2451,770,86,1157.7,47.3,0.8,65.2,1183.9,36,105,99,8,11,1015,41527,14.8
Пермский край,37253,29347.6,244,31,75.7,1184,20.2,55.6,24.2,799,9.2,13.9,4.8,-4.7,7.3,4.7,-20,4736,1054,567.016,6647,71.4,28.3,14.1,5.1,11.5,12.6,27.3,25.6,27.5,501.8,25.8,35.8,38.7,40.2,3.5,87.1,119,275,78.8,134.62,87.92543245,3.2,12.6,9.6,60.3,71.3,84.2,84.1,79.3,223,92.01260429,0.5021405733,26,2663,1234,76,793.9,233.1,3.6,77.2,2525.1,180,459,483,64,13,3858,53234,11.5
Кировская область,32149,25254.9,283,37,78.3,1190,17.2,53.2,29.6,878,7.8,16.6,4.9,-8.8,6.6,4.5,-9,10596,685,792.93,8197,62.4,20.9,9.8,3.1,13.4,7.7,26.7,22.2,35,528.4,13.4,34.4,21.7,25.7,0.9,111.7,127,86,54.7,105.09,94.24324825,1.1,5.3,5,53,52.2,75.9,75.9,82.6,87.2,101.1324017,0.3705725699,25,938,838,41,1366.1,42,7.1,95.2,1149.2,62,144,423,23,11,1311,40833,12.5
Нижегородская область,43220,33308.3,238,39,80,1209,17.4,55.6,27,798,7.8,15.5,4.7,-7.7,6.9,4.2,-10,5878,1236,667.453,7270,47.7,21.7,13.6,1.7,7.6,14.5,22.1,24.7,36.5,619.2,25.1,40.5,42.1,39.8,4.7,83.2,90.7,122,48.8,300.23,84.07180113,3.3,14.5,16.6,59.1,70.2,82.5,82.3,84.4,230.3,104.2242288,0.1488872377,43,2924,1822,230,1560.6,148.9,8.3,88.3,3108.9,161,333,656,68,18,3806,48368,8
Оренбургская область,30334,23942,300,35,59.9,1156,19.4,55.5,25.1,802,8.7,13.8,3.9,-5.1,6.9,5.2,-27,6615,706,600.725,4368,4.7,20,8.9,4.3,19.6,13.2,20.4,25.5,43.7,454.6,34.3,28.5,32.9,27.2,3.2,96.6,81.7,398,57.1,96.37,80.99254494,2.3,9.8,7.9,58.3,84.9,93.7,93.4,86.8,53.9,105.2473231,0.6013859408,36,2626,1202,60,635.2,61.9,0.7,95.7,1855.8,90,233,239,42,10,1805,43540,13.1
Пензенская область,30111,24541.3,215,36,68.8,1194,15.8,55.5,28.7,802,6.7,15.6,4.3,-8.9,6.1,4.2,-27,6635,706,345.009,9174,20.6,21.7,13.2,2.2,12.9,13.9,16.4,22.9,46.1,346.4,40.2,42.5,32.7,36.9,0.8,54.7,113.5,31,96.3,95.8,81.02827287,1.4,5,6.2,48.9,63.5,80.5,76.7,76.9,60.5,112.6255305,0.3806461856,26,2366,885,71,1019.7,84.7,1.9,75.8,1261.1,48,134,100,12,5,1368,41307,11.5
Самарская область,37055,29985.1,246,38,79.5,1180,17.4,56.4,26.2,771,7.9,14.2,5,-6.3,6.9,4.4,-6,5251,1037,453.305,7075,12.8,25.9,13.8,2.8,13,12.7,19.4,22.4,24.8,502.1,31.4,52.5,28,48.2,1.9,65.3,99.3,234,50.6,350.5,75.65896552,3.4,14.9,18.8,51.4,75.7,81.9,79.8,78.9,108.7,82.98641638,0.2895157663,39,2659,1529,136,433.1,169.9,0.6,67.6,3164.4,101,277,760,76,24,4531,48874,10.9
Саратовская область,28797,23922.4,234,27,76.8,1155,16.1,57,26.9,753,6.8,14.3,3.2,-7.5,6.4,4.3,-33,5732,961,756.691,6435,6.2,17.4,9.5,3.4,11.2,12.8,23.9,21.9,49.4,371.1,16.8,45,18.1,40.8,2.4,69.8,74.1,118,79.9,95.76,70.4099356,2.1,10.7,14.4,48.4,67.6,86.8,86.8,89.1,122.3,75.05372266,0.2981095127,24,1886,1364,91,890.3,85.1,3.4,57.8,2431,100,182,437,56,12,2668,42917,13.2
Ульяновская область,31008,25288.4,219,43,77,1175,16.9,54.8,28.3,825,7.6,15.1,4,-7.5,6.4,4.3,-15,6986,475,205.529,6277,26.6,20.7,12.1,1.9,12.2,13.4,17.9,22,32.6,382.6,19.7,48.2,31,48.6,2.2,94.8,102.1,25,79.1,90.08,77.59560478,0.9,5.3,6.7,58.8,63.8,80.5,80,79.4,23,112.1924867,0.2385345997,17,976,724,49,605.6,151.1,1.4,90.9,1191.7,79,126,218,42,12,1154,41523,12.8
Курганская область,28401,22574.1,237,35,64.2,1200,19.8,51.3,28.9,951,8.2,16.4,6.2,-8.2,6.8,5.4,-58,9320,425,171.076,5540,22.6,50.7,10.5,4.6,22.4,12.7,30.3,15.9,98.3,606.4,35.1,43.4,31.1,32.2,1.5,115,120.3,35,53.4,29.02,75.27245773,0.8,3.3,2.8,53.8,55.8,82.7,82.7,79.9,36.8,83.64124341,0.6114893109,21,1375,727,13,689.9,185.8,4.6,90.2,772.3,72,97,146,35,6,1357,41792,17
